Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764150300000,2.1771,2.1779,2.1718,2.1774,1391,139104,302559.34,1
1764149400000,2.1792,2.181,2.1735,2.1773,3537,353717,770086.3726,1
1764148500000,2.1861,2.1862,2.1792,2.1792,1442,144217,314618.1353,1
1764147600000,2.1881,2.1898,2.1833,2.1862,1810,181050,395887.6713,1
1764146700000,2.1955,2.197,2.1873,2.1881,1117,111796,244976.9812,1
1764145800000,2.1911,2.1977,2.1888,2.1959,1486,148663,325951.8961,1
1764144900000,2.1983,2.2005,2.1903,2.1907,1879,187914,412227.5284,1
1764144000000,2.2047,2.2049,2.1973,2.1979,1801,180183,396736.3087,1
1764143100000,2.1976,2.2059,2.1955,2.2048,1083,108392,238670.6499,1
1764142200000,2.2011,2.2017,2.195,2.1976,822,82266,180897.7937,1
1764141300000,2.1992,2.2023,2.1978,2.2014,863,86395,190065.5953,1
1764140400000,2.1976,2.201,2.1944,2.1995,847,84765,186272.7609,1
1764139500000,2.1922,2.2034,2.1903,2.1979,3143,314361,691570.9234,1
1764138600000,2.1869,2.1924,2.1849,2.1923,787,78707,172274.2703,1
1764137700000,2.1941,2.1944,2.1839,2.1876,1275,127571,279012.114,1
1764136800000,2.1905,2.1981,2.1884,2.1938,1966,196622,431276.2506,1
1764135900000,2.1929,2.1966,2.1901,2.1909,2121,212112,465120.729,1
1764135000000,2.1883,2.1988,2.1866,2.1929,1541,154155,337990.4387,1
1764134100000,2.1865,2.1916,2.1835,2.1882,1305,130582,285557.1537,1
1764133200000,2.1761,2.1886,2.1748,2.1865,1394,139472,304566.4394,1
1764132300000,2.1731,2.1768,2.1714,2.1761,922,92279,200651.3305,1
1764131400000,2.1744,2.1778,2.1715,2.1731,1147,114710,249438.7342,1
1764130500000,2.1713,2.1765,2.1692,2.1744,1789,178990,389063.4276,1
1764129600000,2.1753,2.1792,2.1713,2.1714,1380,138096,300325.1266,1
1764128700000,2.1796,2.1796,2.1721,2.175,1487,148785,323721.0225,1
1764127800000,2.1927,2.1927,2.1752,2.1798,3999,399990,871785.192,1
1764126900000,2.1894,2.194,2.1873,2.1927,1030,103087,225844.0768,1
1764126000000,2.1899,2.1927,2.1861,2.1884,3042,304293,665877.0164,1
1764125100000,2.1954,2.1961,2.1896,2.1899,5769,576931,1264272.5187,1
1764124200000,2.1931,2.1965,2.1892,2.1954,1708,170801,374650.6533,1
1764123300000,2.2036,2.2078,2.1925,2.1933,2801,280165,615674.5052,1
1764122400000,2.2022,2.2064,2.2,2.2044,2220,222048,489215.4325,1
1764121500000,2.2073,2.2073,2.2004,2.2019,1349,134904,297143.0401,1
1764120600000,2.199,2.2124,2.1976,2.207,2478,247819,546445.1241,1
1764119700000,2.1917,2.2014,2.1896,2.199,1928,192876,423038.0419,1
1764118800000,2.1939,2.1939,2.1863,2.1922,1854,185415,406298.3099,1
1764117900000,2.1941,2.2009,2.1904,2.1939,1271,127102,278956.8132,1
1764117000000,2.1991,2.2017,2.1908,2.1943,1644,164488,361192.4841,1
1764116100000,2.2015,2.2078,2.1953,2.199,2031,203140,447123.4199,1
1764115200000,2.2009,2.2059,2.1983,2.2015,2208,220870,486624.7745,1
1764114300000,2.2044,2.2054,2.196,2.2012,1407,140797,309726.9544,1
1764113400000,2.2032,2.2062,2.2004,2.2045,1243,124393,274082.6872,1
1764112500000,2.2149,2.2149,2.2028,2.2032,5108,510817,1128509.1878,1
1764111600000,2.2081,2.2163,2.199,2.2152,5533,553391,1221236.6379,1
1764110700000,2.1972,2.2099,2.1932,2.2077,1785,178541,392964.1408,1
1764109800000,2.1926,2.2052,2.189,2.1964,3251,325157,714295.1302,1
1764108900000,2.1723,2.1939,2.1715,2.1926,3507,350755,766431.8581,1
1764108000000,2.1846,2.1846,2.1692,2.1729,12102,1210218,2632645.4914,1
1764107100000,2.1923,2.1955,2.1849,2.1857,1752,175238,383799.2585,1
1764106200000,2.1959,2.1971,2.1872,2.1923,3829,382986,839422.9393,1
1764105300000,2.2003,2.2087,2.1959,2.1961,5120,512012,1128218.7358,1
1764104400000,2.1952,2.2057,2.1931,2.1996,4126,412653,907679.2665,1
1764103500000,2.1955,2.2141,2.1923,2.1965,6951,695122,1532872.6783,1
1764102600000,2.1852,2.1959,2.1852,2.195,11766,1176615,2577036.6153,1
1764101700000,2.1738,2.1868,2.1731,2.185,3830,383077,834688.5455,1
1764100800000,2.1716,2.1769,2.1643,2.1735,4494,449408,975722.6905,1
1764099900000,2.163,2.1724,2.1594,2.1715,3562,356295,772008.8282,1
1764099000000,2.1507,2.165,2.1474,2.1634,7382,738225,1591984.2806,1
1764098100000,2.1682,2.1682,2.1471,2.1512,13198,1319899,2843985.3715,1
1764097200000,2.1818,2.1851,2.1618,2.1682,8484,848434,1840826.1316,1
1764096300000,2.191,2.1927,2.1776,2.182,2483,248367,542979.9444,1
1764095400000,2.1949,2.2006,2.189,2.1906,2458,245853,539291.5812,1
1764094500000,2.1972,2.2031,2.191,2.195,3748,374888,823810.6727,1
1764093600000,2.1863,2.1987,2.1857,2.1965,3884,388462,852240.3754,1
1764092700000,2.201,2.2028,2.1874,2.1881,4095,409540,899769.2235,1
1764091800000,2.1878,2.2074,2.1853,2.2011,4534,453440,998441.449,1
1764090900000,2.1974,2.1974,2.1851,2.1881,4276,427649,937283.0315,1
1764090000000,2.1924,2.1985,2.1792,2.1973,6008,600871,1316287.8932,1
1764089100000,2.1993,2.1993,2.1909,2.1925,4248,424873,932137.9873,1
1764088200000,2.2058,2.2091,2.1966,2.1989,7846,784662,1728983.0101,1
1764087300000,2.1807,2.2057,2.1784,2.2057,4712,471214,1035714.2299,1
1764086400000,2.1864,2.1919,2.1764,2.1809,6594,659408,1440638.1488,1
1764085500000,2.192,2.1963,2.1821,2.1866,13264,1326439,2902073.7679,1
1764084600000,2.1757,2.1918,2.1757,2.1918,13411,1341125,2928461.9432,1
1764083700000,2.1686,2.1759,2.1578,2.1751,5870,587066,1271929.8884,1
1764082800000,2.1777,2.1836,2.1602,2.1681,8344,834441,1811660.7041,1
1764081900000,2.19,2.19,2.1691,2.178,8280,828000,1803261.0025,1
1764081000000,2.2096,2.2158,2.1876,2.1906,7129,712921,1570937.0984,1
1764080100000,2.2018,2.2125,2.2004,2.2108,3663,366377,808627.4214,1
1764079200000,2.2123,2.2163,2.1978,2.2022,7052,705241,1556700.245,1
1764078300000,2.2091,2.2168,2.2057,2.2121,3008,300828,665187.8625,1
1764077400000,2.2237,2.2334,2.205,2.2087,7917,791736,1755547.8938,1
1764076500000,2.2238,2.2292,2.221,2.2238,5809,580956,1292478.2809,1
1764075600000,2.2172,2.2239,2.2132,2.2237,4245,424535,941293.7553,1
1764074700000,2.2096,2.2184,2.207,2.218,4771,477113,1056445.6861,1
1764073800000,2.2079,2.2135,2.2005,2.2098,1949,194908,430022.5731,1
1764072900000,2.2134,2.2138,2.2011,2.208,5049,504931,1113620.5934,1
1764072000000,2.196,2.2148,2.1934,2.2135,7503,750379,1653083.616,1
1764071100000,2.198,2.1998,2.1921,2.1948,4260,426047,935679.9395,1
1764070200000,2.1979,2.2025,2.1953,2.1984,4005,400518,880729.2379,1
1764069300000,2.2027,2.2045,2.1947,2.1983,1194,119440,262660.4608,1
1764068400000,2.2066,2.2083,2.1968,2.2027,2274,227495,500995.1454,1
1764067500000,2.2027,2.2092,2.199,2.2069,1565,156516,345168.6798,1
